"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst"
"ESS9e03_2",9,"3.2","23.11.2023",27,"AT",0.5811743,0.21811137,0.30209145,0.06588958,0.0011755485,59,1688,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3
"ESS9e03_2",9,"3.2","23.11.2023",137,"AT",1.0627724,0.41347328,0.30209145,0.12490674,0.00064284564,79,88,4,3,3,3,4,2,3,5,2,3,3,4,3,3,2,4,3,3,3,4,3
"ESS9e03_2",9,"3.2","23.11.2023",194,"AT",1.3765086,2.2702928,0.30209145,0.685836,0.0004963272,11,938,4,3,2,3,5,4,3,3,2,3,3,3,4,2,3,3,3,3,2,3,3
"ESS9e03_2",9,"3.2","23.11.2023",208,"AT",0.9933993,0.38648343,0.30209145,0.11675334,0.0006877382,74,1998,3,1,1,3,5,1,2,6,1,2,1,2,3,1,1,2,1,1,1,1,1
"ESS9e03_2",9,"3.2","23.11.2023",220,"AT",0.37735337,1.0321022,0.30209145,0.31178924,0.0018105009,99,601,4,1,2,3,6,2,1,6,1,2,1,2,2,2,2,3,3,4,2,6,3
"ESS9e03_2",9,"3.2","23.11.2023",254,"AT",1.4793528,0.57554466,0.30209145,0.17386712,0.00046182267,77,68,3,1,1,1,6,2,1,3,1,4,1,4,1,1,1,1,2,2,2,3,1
"ESS9e03_2",9,"3.2","23.11.2023",290,"AT",0.9917577,0.72060436,0.30209145,0.21768841,0.00068887655,36,1139,2,3,2,2,3,3,3,2,3,2,2,3,2,3,3,4,3,2,2,3,3
"ESS9e03_2",9,"3.2","23.11.2023",301,"AT",0.30985904,0.13011284,0.30209145,0.039305978,0.0022048692,69,1914,6,1,3,4,4,1,4,6,3,3,4,3,4,2,1,3,4,4,2,4,3
"ESS9e03_2",9,"3.2","23.11.2023",305,"AT",1.2303838,1.7707597,0.30209145,0.53493136,0.0005552728,9,885,5,1,3,1,6,1,1,6,1,4,1,4,2,1,2,2,6,1,3,5,3
"ESS9e03_2",9,"3.2","23.11.2023",400,"AT",0.4588362,0.74281406,0.30209145,0.22439778,0.0014889815,11,918,2,3,2,3,3,2,2,4,3,3,3,3,2,2,3,3,3,3,3,3,3
"ESS9e03_2",9,"3.2","23.11.2023",413,"AT",0.4261578,0.15993461,0.30209145,0.048314877,0.0016031588,82,182,4,5,6,6,3,6,6,5,5,4,6,6,6,6,4,6,6,6,6,3,5
"ESS9e03_2",9,"3.2","23.11.2023",438,"AT",0.9917577,0.77776074,0.30209145,0.23495486,0.00068887655,36,1135,5,1,1,5,6,6,5,5,6,1,1,7,5,2,2,4,6,6,6,6,2
"ESS9e03_2",9,"3.2","23.11.2023",459,"AT",1.1061352,0.80371034,0.30209145,0.24279402,0.0006176448,1,2,2,2,8,1,1,1,1,5,3,3,7,8,2,1,1,5,6,1,1,2,3
"ESS9e03_2",9,"3.2","23.11.2023",472,"AT",0.8202559,0.9830472,0.30209145,0.29697016,0.0008329092,9,881,1,4,2,2,6,2,3,4,2,1,2,6,1,2,1,6,2,6,3,5,2
"ESS9e03_2",9,"3.2","23.11.2023",586,"AT",0.47176006,0.34277758,0.30209145,0.10355017,0.001448191,42,1255,5,1,1,5,5,1,3,6,1,4,3,2,3,1,1,2,2,2,1,4,1
"ESS9e03_2",9,"3.2","23.11.2023",592,"AT",0.5730639,1.0202683,0.30209145,0.30821434,0.0011921858,105,754,5,1,3,3,2,5,2,4,5,2,1,3,2,1,1,2,3,3,2,3,1
"ESS9e03_2",9,"3.2","23.11.2023",614,"AT",0.9295771,0.36165342,0.30209145,0.10925241,0.0007349564,69,1906,3,2,1,1,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,3
"ESS9e03_2",9,"3.2","23.11.2023",651,"AT",1.31288,0.5512915,0.30209145,0.16654046,0.0005203816,80,111,3,2,1,2,4,2,3,3,2,1,2,8,2,1,2,2,2,2,1,3,2
"ESS9e03_2",9,"3.2","23.11.2023",687,"AT",0.30985904,0.11628836,0.30209145,0.03512972,0.0022048692,69,1910,1,1,2,1,5,1,1,4,3,1,1,5,2,2,2,2,2,1,2,2,1
"ESS9e03_2",9,"3.2","23.11.2023",703,"AT",0.5521099,1.3890675,0.30209145,0.41962543,0.0012374324,20,113,3,2,2,2,3,1,4,3,2,3,3,3,2,2,2,3,2,3,1,3,2
"ESS9e03_2",9,"3.2","23.11.2023",722,"AT",0.5521099,0.4011593,0.30209145,0.12118679,0.0012374324,20,113,3,1,2,2,5,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,3
"ESS9e03_2",9,"3.2","23.11.2023",815,"AT",0.6061253,0.5144068,0.30209145,0.15539789,0.0011271575,64,1453,3,1,1,2,4,1,2,3,1,1,2,4,2,2,1,3,2,2,1,2,2
"ESS9e03_2",9,"3.2","23.11.2023",890,"AT",0.46808594,0.2732045,0.30209145,0.08253275,0.001459558,30,1986,3,2,1,3,5,3,4,4,2,4,3,4,4,5,4,3,2,5,3,4,3
"ESS9e03_2",9,"3.2","23.11.2023",912,"AT",1.1529205,0.90898925,0.30209145,0.27459788,0.0005925809,45,1295,3,2,2,3,4,2,2,4,2,3,2,3,3,2,1,2,3,2,2,3,3
"ESS9e03_2",9,"3.2","23.11.2023",915,"AT",0.9176724,1.3691212,0.30209145,0.41359982,0.00074449077,11,923,2,2,2,2,2,2,2,3,2,2,2,2,1,2,1,2,2,3,1,2,2
"ESS9e03_2",9,"3.2","23.11.2023",919,"AT",1.0791376,1.92127,0.30209145,0.5803992,0.0006330969,19,1111,2,3,1,1,2,4,3,2,6,2,2,5,1,4,2,6,2,2,2,1,4
"ESS9e03_2",9,"3.2","23.11.2023",932,"AT",0.54769045,0.5830091,0.30209145,0.17612207,0.0012474174,21,335,3,2,1,2,4,2,3,3,3,2,3,4,2,2,1,3,2,2,3,2,2
"ESS9e03_2",9,"3.2","23.11.2023",950,"AT",0.8539414,0.6204679,0.30209145,0.18743804,0.00080005336,27,1331,4,1,3,2,4,2,1,5,1,5,1,2,4,2,1,3,2,2,2,2,2
"ESS9e03_2",9,"3.2","23.11.2023",976,"AT",0.5506459,1.3853848,0.30209145,0.4185129,0.0012407223,43,1231,1,2,1,1,3,3,4,2,3,2,2,4,1,2,3,3,4,2,3,3,3
"ESS9e03_2",9,"3.2","23.11.2023",1005,"AT",1.8469421,3.999696,0.30209145,1.208274,0.000369908,1,1897,2,2,1,2,2,3,2,2,2,1,3,3,1,2,2,3,2,1,3,1,3
"ESS9e03_2",9,"3.2","23.11.2023",1037,"AT",1.1061352,0.77529037,0.30209145,0.2342086,0.0006176448,1,2,4,2,3,3,2,4,3,4,3,3,2,3,3,2,2,2,3,3,3,2,3
"ESS9e03_2",9,"3.2","23.11.2023",1046,"AT",0.9276699,0.3609114,0.30209145,0.10902825,0.0007364674,63,1790,4,2,3,2,3,2,2,4,3,4,3,2,3,2,3,6,3,3,4,2,6
"ESS9e03_2",9,"3.2","23.11.2023",1049,"AT",1.0360992,0.8168847,0.30209145,0.24677388,0.000659395,28,1742,1,6,1,6,1,2,3,6,4,2,1,4,2,2,6,5,6,3,1,4,2
"ESS9e03_2",9,"3.2","23.11.2023",1093,"AT",1.5439435,2.2220318,0.30209145,0.67125684,0.00044250235,14,997,5,3,1,4,4,2,2,4,2,2,2,3,3,3,2,3,2,1,1,1,2
"ESS9e03_2",9,"3.2","23.11.2023",1171,"AT",0.47826752,0.34111285,0.30209145,0.103047274,0.0014284864,91,463,2,2,1,2,5,2,4,4,1,4,2,5,2,1,1,1,2,4,2,3,2
