"cntry","wave","node","item","empirical_community","is_unassigned","item_stability","prop_unassigned_in_boot","modal_boot_community","modal_boot_proportion","n_communities_empirical","prop_dim1","prop_dim2","prop_dim3","prop_dim4","prop_dim5","prop_dim6","prop_dim7"
"BE","R9","V1","impdiff",1,FALSE,0.997,0,1,0.997,3,0.997,0,0,0.003,0,0,NA
"BE","R9","V2","impenv",2,FALSE,1,0,2,1,3,0,1,0,0,0,0,NA
"BE","R9","V3","impfree",1,FALSE,0.698,0.001,1,0.698,3,0.698,0.275,0,0.025,0.001,0,NA
"BE","R9","V4","impfun",1,FALSE,0.989,0,1,0.989,3,0.989,0,0,0.011,0,0,NA
"BE","R9","V5","imprich",1,FALSE,0.563,0,1,0.563,3,0.563,0.027,0.145,0.261,0.004,0,NA
"BE","R9","V6","impsafe",3,FALSE,1,0,3,1,3,0,0,1,0,0,0,NA
"BE","R9","V7","imptrad",3,FALSE,0.999,0,3,0.999,3,0,0,0.999,0,0.001,0,NA
"BE","R9","V8","ipadvnt",1,FALSE,0.937,0,1,0.937,3,0.937,0,0,0.063,0,0,NA
"BE","R9","V9","ipbhprp",3,FALSE,1,0,3,1,3,0,0,1,0,0,0,NA
"BE","R9","V10","ipcrtiv",1,FALSE,0.966,0,1,0.966,3,0.966,0.013,0,0.021,0,0,NA
"BE","R9","V11","ipeqopt",2,FALSE,1,0,2,1,3,0,1,0,0,0,0,NA
"BE","R9","V12","ipfrule",3,FALSE,1,0,3,1,3,0,0,1,0,0,0,NA
"BE","R9","V13","ipgdtim",1,FALSE,0.989,0,1,0.989,3,0.989,0,0,0.011,0,0,NA
"BE","R9","V14","iphlppl",2,FALSE,1,0,2,1,3,0,1,0,0,0,0,NA
"BE","R9","V15","iplylfr",2,FALSE,1,0,2,1,3,0,1,0,0,0,0,NA
"BE","R9","V16","ipmodst",3,FALSE,0.667,0.011,3,0.667,3,0.03,0.27,0.667,0.018,0.004,0,NA
"BE","R9","V17","iprspot",3,FALSE,0.66,0,3,0.66,3,0.112,0,0.66,0.224,0.004,0,NA
"BE","R9","V18","ipshabt",1,FALSE,0.684,0,1,0.684,3,0.684,0,0.001,0.286,0.026,0.003,NA
"BE","R9","V19","ipstrgv",3,FALSE,1,0,3,1,3,0,0,1,0,0,0,NA
"BE","R9","V20","ipsuces",1,FALSE,0.684,0,1,0.684,3,0.684,0,0.001,0.286,0.026,0.003,NA
"BE","R9","V21","ipudrst",2,FALSE,1,0,2,1,3,0,1,0,0,0,0,NA
"BE","R10","V1","impdiff",1,FALSE,0.998,0,1,0.998,4,0.998,0.002,0,0,NA,NA,NA
"BE","R10","V2","impenv",2,FALSE,0.993,0,2,0.993,4,0.007,0.993,0,0,NA,NA,NA
"BE","R10","V3","impfree",1,FALSE,0.735,0,1,0.735,4,0.735,0.265,0,0,NA,NA,NA
"BE","R10","V4","impfun",1,FALSE,1,0,1,1,4,1,0,0,0,NA,NA,NA
"BE","R10","V5","imprich",3,FALSE,0.917,0,3,0.917,4,0.079,0,0.917,0.004,NA,NA,NA
"BE","R10","V6","impsafe",4,FALSE,1,0,4,1,4,0,0,0,1,NA,NA,NA
"BE","R10","V7","imptrad",4,FALSE,1,0,4,1,4,0,0,0,1,NA,NA,NA
"BE","R10","V8","ipadvnt",1,FALSE,0.661,0,1,0.661,4,0.661,0,0.338,0.001,NA,NA,NA
"BE","R10","V9","ipbhprp",4,FALSE,1,0,4,1,4,0,0,0,1,NA,NA,NA
"BE","R10","V10","ipcrtiv",1,FALSE,0.776,0,1,0.776,4,0.776,0.224,0,0,NA,NA,NA
"BE","R10","V11","ipeqopt",2,FALSE,0.993,0,2,0.993,4,0.007,0.993,0,0,NA,NA,NA
"BE","R10","V12","ipfrule",4,FALSE,0.998,0,4,0.998,4,0,0,0.002,0.998,NA,NA,NA
"BE","R10","V13","ipgdtim",1,FALSE,1,0,1,1,4,1,0,0,0,NA,NA,NA
"BE","R10","V14","iphlppl",2,FALSE,0.993,0,2,0.993,4,0.007,0.993,0,0,NA,NA,NA
"BE","R10","V15","iplylfr",2,FALSE,0.993,0,2,0.993,4,0.007,0.993,0,0,NA,NA,NA
"BE","R10","V16","ipmodst",2,FALSE,0.455,0.025,4,0.463,4,0.004,0.455,0.053,0.463,NA,NA,NA
"BE","R10","V17","iprspot",4,FALSE,0.961,0,4,0.961,4,0,0,0.039,0.961,NA,NA,NA
"BE","R10","V18","ipshabt",3,FALSE,0.927,0,3,0.927,4,0.066,0,0.927,0.007,NA,NA,NA
"BE","R10","V19","ipstrgv",4,FALSE,1,0,4,1,4,0,0,0,1,NA,NA,NA
"BE","R10","V20","ipsuces",3,FALSE,0.927,0,3,0.927,4,0.067,0,0.927,0.006,NA,NA,NA
"BE","R10","V21","ipudrst",2,FALSE,0.993,0,2,0.993,4,0.007,0.993,0,0,NA,NA,NA
"BG","R9","V1","impdiff",1,FALSE,1,0,1,1,2,1,0,0,0,0,NA,NA
"BG","R9","V2","impenv",2,FALSE,0.799,0,2,0.799,2,0,0.799,0.2,0.001,0,NA,NA
"BG","R9","V3","impfree",1,FALSE,0.79,0,1,0.79,2,0.79,0,0.196,0.014,0,NA,NA
"BG","R9","V4","impfun",1,FALSE,1,0,1,1,2,1,0,0,0,0,NA,NA
"BG","R9","V5","imprich",1,FALSE,1,0,1,1,2,1,0,0,0,0,NA,NA
"BG","R9","V6","impsafe",2,FALSE,0.801,0,2,0.801,2,0,0.801,0.192,0.006,0.001,NA,NA
"BG","R9","V7","imptrad",2,FALSE,0.799,0,2,0.799,2,0,0.799,0.2,0.001,0,NA,NA
"BG","R9","V8","ipadvnt",1,FALSE,1,0,1,1,2,1,0,0,0,0,NA,NA
"BG","R9","V9","ipbhprp",2,FALSE,0.515,0,2,0.515,2,0,0.515,0.381,0.104,0,NA,NA
