"node1","node2","item1","item2","median_delta","mean_delta","mean_abs_delta","min_delta","max_delta","n_positive_change","n_negative_change","n_no_change"
"V1","V2","impdiff","impenv",0,0.0034239088294546,0.011214897787191,-0.0400507779409092,0.057712897841486,3,3,14
"V1","V3","impdiff","impfree",0,-0.0021509374853275,0.0123106913064611,-0.0461406985109394,0.0387373061177977,4,5,11
"V2","V3","impenv","impfree",0,-0.00110230377305521,0.0283621173276405,-0.0710968663934957,0.0735415248660795,6,8,6
"V1","V4","impdiff","impfun",-0.0132892972373484,-0.00929080170796796,0.0298046591640124,-0.0712309289155981,0.0631346932293492,8,12,0
"V2","V4","impenv","impfun",0,0.0026483924193398,0.0026483924193398,0,0.052967848386796,1,0,19
"V3","V4","impfree","impfun",0,0.000176858614058104,0.0138492029298657,-0.070437824735589,0.0899781986175663,3,5,12
"V1","V5","impdiff","imprich",0,-0.00786518538222711,0.00854635359640536,-0.0879545864559941,0.00681168214178247,1,3,16
"V2","V5","impenv","imprich",0,-0.00218748795686714,0.0273813898565753,-0.0901196655469259,0.0691780603319884,6,7,7
"V3","V5","impfree","imprich",0,0,0,0,0,0,0,20
"V4","V5","impfun","imprich",0,0.00743108945593178,0.019789912872383,-0.0607820814343413,0.0990621545594136,4,3,13
"V1","V6","impdiff","impsafe",0,0.00240406114486887,0.0061795988392306,-0.0377553769436173,0.0595188990110656,2,1,17
"V2","V6","impenv","impsafe",0,-0.0127499559466719,0.0242634046906884,-0.146784747273055,0.0457291485288348,4,6,10
"V3","V6","impfree","impsafe",0,0.00558898347376644,0.0229324791320985,-0.0603217657351935,0.148863731587861,5,5,10
"V4","V6","impfun","impsafe",0,0,0,0,0,0,0,20
"V5","V6","imprich","impsafe",0,-0.00190877831539522,0.00675106696406454,-0.0552418327829596,0.0484228864866932,1,2,17
"V1","V7","impdiff","imptrad",0,0,0,0,0,0,0,20
"V2","V7","impenv","imptrad",-0.0222895129671045,-0.0271403775628886,0.0327488849643697,-0.155379576070609,0.0290144843106872,3,13,4
"V3","V7","impfree","imptrad",0,0.00860857736886836,0.00860857736886836,0,0.0647660493269369,3,0,17
"V4","V7","impfun","imptrad",0,0.00316735772375839,0.0181229706956963,-0.078854059420426,0.0681814071935243,5,4,11
"V5","V7","imprich","imptrad",0,2.83467186392349e-05,0.00242335958346847,-0.0239501286482923,0.024517063021077,1,1,18
"V6","V7","impsafe","imptrad",-0.00376245055120891,-0.00840760590456812,0.0352569581668837,-0.114441604015392,0.100733207581239,7,10,3
"V1","V8","impdiff","ipadvnt",-0.010698686452948,-0.00472296364515672,0.028743451465035,-0.0753764738191505,0.0634180639498826,9,11,0
"V2","V8","impenv","ipadvnt",0,-0.00167906708220125,0.00549243615455397,-0.0717150323675523,0.0381336907235272,1,1,18
"V3","V8","impfree","ipadvnt",0,-0.0086076095534909,0.0235001802768543,-0.0750493446046762,0.0783997008020919,3,8,9
"V4","V8","impfun","ipadvnt",-0.00548959115244228,-0.00616579913364484,0.0270124108066776,-0.0694306966811762,0.0727154311145344,9,11,0
"V5","V8","imprich","ipadvnt",-0.00825895486163575,-0.00754870790321161,0.0381398969321877,-0.0875770798012162,0.0631472867234257,9,11,0
"V6","V8","impsafe","ipadvnt",0.00459345820888835,-0.00412137440363745,0.0392623140342749,-0.131862214208477,0.104014316568865,11,8,1
"V7","V8","imptrad","ipadvnt",0,-0.00342365308961345,0.0156099681984943,-0.0808794183671689,0.0486382619102362,3,4,13
"V1","V9","impdiff","ipbhprp",0,-0.000813913860715695,0.00473248472517913,-0.0554639858589483,0.0391857086446344,1,1,18
"V2","V9","impenv","ipbhprp",0,0.00239274275579731,0.0249493927295791,-0.0689124581862108,0.11331852051591,5,7,8
"V3","V9","impfree","ipbhprp",0,0,0,0,0,0,0,20
"V4","V9","impfun","ipbhprp",0,0,0,0,0,0,0,20
"V5","V9","imprich","ipbhprp",0,0,0,0,0,0,0,20
"V6","V9","impsafe","ipbhprp",-0.0176228137232641,-0.0307156537576,0.0412810464534433,-0.154581853995497,0.0366937639663454,7,13,0
"V7","V9","imptrad","ipbhprp",0.00869626823881121,0.00295425703083202,0.0327427699333007,-0.0590865973779966,0.0670690522809339,12,8,0
"V8","V9","ipadvnt","ipbhprp",0,0.00838729910380968,0.0103189372230963,-0.0193163811928662,0.0682651545624923,4,1,15
"V1","V10","impdiff","ipcrtiv",-0.013206489890947,-0.0142772205090447,0.0308399123417545,-0.0957466653238059,0.0420447996402142,7,13,0
"V2","V10","impenv","ipcrtiv",0,-0.00108671043992844,0.035586373645296,-0.0722444251258615,0.0913224903040305,7,9,4
