"cntry","distance_to_median_pattern","distance_rank","case_group","selection_rule"
"FR",0.362400908312908,1,"Closest 3","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"GB",0.368609023833861,2,"Closest 3","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"FI",0.370655577902454,3,"Closest 3","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"CH",0.382102355251622,4,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"NL",0.398912739896994,5,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"EE",0.412599585459457,6,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"NO",0.426253191603935,7,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"IT",0.451469638889167,8,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"IE",0.454367125079563,9,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"HR",0.463977627240635,10,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"BE",0.464532370518183,11,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"SI",0.473075357500572,12,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"CZ",0.484165715019842,13,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"IS",0.491191803201506,14,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"PT",0.514086573231545,15,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"SK",0.545293671643485,16,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"HU",0.553085082435783,17,"Middle","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"LT",0.56706984800871,18,"Farthest 3","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"ME",0.611782105998917,19,"Farthest 3","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
"BG",0.628579526000595,20,"Farthest 3","Ascending Euclidean distance from the all-20-country median edge-change pattern; ties resolved by country code"
