"cntry","node1","node2","item1","item2","delta_R10_minus_R9","abs_delta","p_edge_raw","p_edge_holm_within_country","p_edge_holm_all_4200"
"BE","V10","V13","ipcrtiv","ipgdtim",0.0360622659675025,0.0360622659675025,0.002997002997003,0.629370629370629,1
"BE","V14","V15","iphlppl","iplylfr",-0.116086513051287,0.116086513051287,0.00599400599400599,1,1
"BE","V3","V21","impfree","ipudrst",-0.0962329428097402,0.0962329428097402,0.013986013986014,1,1
"BE","V2","V14","impenv","iphlppl",-0.101481143555929,0.101481143555929,0.034965034965035,1,1
"BE","V5","V11","imprich","ipeqopt",0.0605487066083003,0.0605487066083003,0.035964035964036,1,1
"BE","V13","V21","ipgdtim","ipudrst",0.0733229090136914,0.0733229090136914,0.04995004995005,1,1
"BE","V8","V10","ipadvnt","ipcrtiv",-0.0956439061858088,0.0956439061858088,0.050949050949051,1,1
"BE","V10","V18","ipcrtiv","ipshabt",-0.0824972590685355,0.0824972590685355,0.051948051948052,1,1
"BE","V3","V20","impfree","ipsuces",-0.0480656947336806,0.0480656947336806,0.0549450549450549,1,1
"BE","V17","V19","iprspot","ipstrgv",-0.0366885223167749,0.0366885223167749,0.0579420579420579,1,1
"BE","V8","V17","ipadvnt","iprspot",-0.0939567169859603,0.0939567169859603,0.0719280719280719,1,1
"BE","V7","V11","imptrad","ipeqopt",0.0220000029204048,0.0220000029204048,0.0739260739260739,1,1
"BE","V1","V13","impdiff","ipgdtim",-0.0711913214269025,0.0711913214269025,0.0739260739260739,1,1
"BE","V4","V8","impfun","ipadvnt",-0.0673506591740847,0.0673506591740847,0.0749250749250749,1,1
"BE","V2","V21","impenv","ipudrst",-0.074149602448833,0.074149602448833,0.0859140859140859,1,1
"BE","V1","V8","impdiff","ipadvnt",0.0586304366518984,0.0586304366518984,0.0929070929070929,1,1
"BE","V7","V16","imptrad","ipmodst",0.0430088715982691,0.0430088715982691,0.0999000999000999,1,1
"BE","V1","V21","impdiff","ipudrst",0.0545635202200536,0.0545635202200536,0.101898101898102,1,1
"BE","V14","V19","iphlppl","ipstrgv",0.0666982290756607,0.0666982290756607,0.113886113886114,1,1
"BE","V4","V13","impfun","ipgdtim",0.0613730585991994,0.0613730585991994,0.115884115884116,1,1
"BE","V17","V18","iprspot","ipshabt",0.0741796444525677,0.0741796444525677,0.116883116883117,1,1
"BE","V11","V14","ipeqopt","iphlppl",0.0686671487096478,0.0686671487096478,0.117882117882118,1,1
"BE","V5","V14","imprich","iphlppl",0.125653510007151,0.125653510007151,0.12987012987013,1,1
"BE","V13","V20","ipgdtim","ipsuces",0.0680286906200417,0.0680286906200417,0.133866133866134,1,1
"BE","V16","V17","ipmodst","iprspot",0.0445710257699703,0.0445710257699703,0.145854145854146,1,1
"BE","V3","V7","impfree","imptrad",0.0506778355155013,0.0506778355155013,0.150849150849151,1,1
"BE","V14","V21","iphlppl","ipudrst",0.061964968390659,0.061964968390659,0.154845154845155,1,1
"BE","V8","V9","ipadvnt","ipbhprp",0.0682651545624923,0.0682651545624923,0.158841158841159,1,1
