"cntry","min_p_raw","n_within_country_holm_below_05","median_abs_delta","max_abs_delta"
"BE",0.002997002997003,0,0,0.125653510007151
"BG",0.000999000999000999,0,0,0.172990858642528
"CH",0.003996003996004,0,0,0.104264253616019
"CZ",0.000999000999000999,0,0.00172426555493798,0.133234238206137
"EE",0.000999000999000999,0,0,0.163848850735921
"FI",0.000999000999000999,0,0,0.0937475430906781
"FR",0.010989010989011,0,0,0.0924058788789312
"GB",0.000999000999000999,0,0,0.0968424774231784
"HR",0.000999000999000999,0,0,0.124147311871672
"HU",0.000999000999000999,0,0.00886547949709805,0.181445914331368
"IE",0.000999000999000999,0,0,0.148863731587861
"IS",0.001998001998002,0,0,0.174344168039397
"IT",0.000999000999000999,0,0.0121147114837493,0.0920393447415431
"LT",0.000999000999000999,0,0.00291186258012421,0.155379576070609
"ME",0.000999000999000999,0,0,0.167905747306616
"NL",0.003996003996004,0,0,0.0976845536511662
"NO",0.000999000999000999,0,0,0.11081818337285
"PT",0.000999000999000999,0,0.00273814894501323,0.130746669528081
"SI",0.013986013986014,0,0,0.13143267845815
"SK",0.000999000999000999,0,0,0.150278228748314
