"cntry","wave","cs_strength","cs_expected_influence"
"BE","R9",0.283062645011601,0.516821345707657
"BE","R10",0.439137134052388,0.439137134052388
"BG","R9",0.671989354624085,0.671989354624085
"BG","R10",0.594499017681729,0.750098231827112
"CH","R9",0.516514406184118,0.516514406184118
"CH","R10",0.439075630252101,0.672268907563025
"CZ","R9",0.51651376146789,0.672018348623853
"CZ","R10",0.360881542699725,0.360881542699725
"EE","R9",0.516764236295902,0.594465141032464
"EE","R10",0.594488188976378,0.594488188976378
"FI","R9",0.672258837627322,0.750149790293589
"FI","R10",0.74983498349835,0.74983498349835
"FR","R9",0.439024390243902,0.594235033259424
"FR","R10",0.594344752582926,0.6721044045677
"GB","R9",0.594250706880302,0.67200754005655
"GB","R10",0.361161524500907,0.516333938294011
"HR","R9",0.594401429422275,0.749851101846337
"HR","R10",0.594576271186441,0.672542372881356
"HU","R9",0.672172808132147,0.672172808132147
"HU","R10",0.438679245283019,0.672169811320755
"IE","R9",0.672430355427474,0.672430355427474
"IE","R10",0.516564417177914,0.594478527607362
"IS","R9",0.594663278271919,0.594663278271919
"IS","R10",0.20609756097561,0.360975609756098
"IT","R9",0.594627594627595,0.75010175010175
"IT","R10",0.360914760914761,0.75010395010395
"LT","R9",0.594522378089512,0.672010688042752
"LT","R10",0.283469945355191,0.516393442622951
"ME","R9",0.594429939077459,0.671888598781549
"ME","R10",0.749792874896437,0.749792874896437
"NL","R9",0.283469516027656,0.516656191074796
"NL","R10",0.438583815028902,0.438583815028902
"NO","R9",0.516629711751663,0.516629711751663
"NO","R10",0.749815498154982,0.672324723247232
"PT","R9",0.438631790744467,0.517102615694165
"PT","R10",0.438816163915766,0.594194649971542
"SI","R9",0.283034257748777,0.438825448613377
"SI","R10",0.205503009458297,0.51676698194325
"SK","R9",0.20523138832998,0.361167002012072
"SK","R10",0.36087295401403,0.516757599376461
