"cntry","wave","n","n_nodes","symmetric","zero_diagonal","all_finite","n_edges","n_positive_edges","n_negative_edges","global_strength","mean_present_edge"
"BE","R9",1724,21,TRUE,TRUE,TRUE,83,72,11,7.3495913459711,0.0885492933249531
"BE","R10",1298,21,TRUE,TRUE,TRUE,66,65,1,6.26294958096747,0.094893175469204
"BG","R9",1503,21,TRUE,TRUE,TRUE,70,69,1,8.17468543540708,0.116781220505815
"BG","R10",2545,21,TRUE,TRUE,TRUE,93,84,9,9.2670819537674,0.099646042513628
"CH","R9",1423,21,TRUE,TRUE,TRUE,63,61,2,6.17854800585267,0.09807219056909
"CH","R10",1428,21,TRUE,TRUE,TRUE,77,70,7,7.05462637714247,0.0916185243784737
"CZ","R9",2180,21,TRUE,TRUE,TRUE,91,84,7,8.85726469580823,0.0973325790748158
"CZ","R10",2178,21,TRUE,TRUE,TRUE,92,90,2,9.11690082423665,0.0990967480895288
"EE","R9",1879,21,TRUE,TRUE,TRUE,86,78,8,7.27800346572706,0.0846279472758961
"EE","R10",1524,21,TRUE,TRUE,TRUE,79,70,9,6.7144672253978,0.0849932560176937
"FI","R9",1669,21,TRUE,TRUE,TRUE,70,62,8,7.48202029580325,0.106886004225761
"FI","R10",1515,21,TRUE,TRUE,TRUE,71,66,5,7.22385337471506,0.101744413728381
"FR","R9",1804,21,TRUE,TRUE,TRUE,86,82,4,7.10614097140214,0.0826295461790947
"FR","R10",1839,21,TRUE,TRUE,TRUE,84,80,4,7.59052526640737,0.0903633960286591
"GB","R9",2122,21,TRUE,TRUE,TRUE,86,81,5,7.96587571577672,0.0926264618113572
"GB","R10",1102,21,TRUE,TRUE,TRUE,76,72,4,7.15111781145715,0.0940936554139099
"HR","R9",1679,21,TRUE,TRUE,TRUE,83,80,3,8.1032324332064,0.0976293064241735
"HR","R10",1475,21,TRUE,TRUE,TRUE,80,75,5,7.68999927321092,0.0961249909151365
"HU","R9",1574,21,TRUE,TRUE,TRUE,89,85,4,8.01673417490675,0.0900756648865926
"HU","R10",1696,21,TRUE,TRUE,TRUE,96,90,6,8.52596692716346,0.0888121554912861
"IE","R9",2082,21,TRUE,TRUE,TRUE,87,82,5,8.19916794542336,0.0942433097175099
"IE","R10",1630,21,TRUE,TRUE,TRUE,81,79,2,8.14877845908636,0.100602203198597
"IS","R9",787,21,TRUE,TRUE,TRUE,51,50,1,5.32321115067681,0.104376689228957
"IS","R10",820,21,TRUE,TRUE,TRUE,56,54,2,5.88247371023092,0.105044173396981
"IT","R9",2457,21,TRUE,TRUE,TRUE,103,92,11,9.61537545314974,0.0933531597393179
"IT","R10",2405,21,TRUE,TRUE,TRUE,105,96,9,9.54735318729286,0.090927173212313
"LT","R9",1497,21,TRUE,TRUE,TRUE,84,77,7,8.11099403401124,0.0965594527858481
"LT","R10",1464,21,TRUE,TRUE,TRUE,86,81,5,8.22920683166978,0.0956884515310439
"ME","R9",1149,21,TRUE,TRUE,TRUE,73,68,5,7.9451797799971,0.108838079178042
"ME","R10",1207,21,TRUE,TRUE,TRUE,72,71,1,8.08138915807762,0.112241516084411
"NL","R9",1591,21,TRUE,TRUE,TRUE,80,73,7,6.89998463444133,0.0862498079305166
"NL","R10",1384,21,TRUE,TRUE,TRUE,65,60,5,6.32808966626638,0.0973552256348673
"NO","R9",1353,21,TRUE,TRUE,TRUE,73,69,4,6.9399199884114,0.0950673971015261
"NO","R10",1355,21,TRUE,TRUE,TRUE,70,66,4,6.39577770873866,0.0913682529819808
"PT","R9",994,21,TRUE,TRUE,TRUE,70,67,3,6.97617523450154,0.0996596462071648
"PT","R10",1757,21,TRUE,TRUE,TRUE,93,89,4,8.14229422982848,0.0875515508583707
"SI","R9",1226,21,TRUE,TRUE,TRUE,82,74,8,7.48820134839095,0.091319528638914
"SI","R10",1163,21,TRUE,TRUE,TRUE,80,76,4,7.00417690502174,0.0875522113127718
"SK","R9",994,21,TRUE,TRUE,TRUE,89,84,5,7.87247724320856,0.0884548004854895
"SK","R10",1283,21,TRUE,TRUE,TRUE,80,77,3,7.88066050309251,0.0985082562886563
