"cntry","n_R9","n_R10","n_edges_R9","n_edges_R10","density_R9","density_R10","global_strength_R9","global_strength_R10","global_strength_diff"
"BE",1724,1298,83,66,0.395238095238095,0.314285714285714,7.3495913459711,6.26294958096747,-1.08664176500363
"BG",1503,2545,70,93,0.333333333333333,0.442857142857143,8.17468543540708,9.2670819537674,1.09239651836032
"CH",1423,1428,63,77,0.3,0.366666666666667,6.17854800585267,7.05462637714247,0.8760783712898
"CZ",2180,2178,91,92,0.433333333333333,0.438095238095238,8.85726469580823,9.11690082423665,0.25963612842842
"EE",1879,1524,86,79,0.40952380952381,0.376190476190476,7.27800346572706,6.7144672253978,-0.56353624032926
"FI",1669,1515,70,71,0.333333333333333,0.338095238095238,7.48202029580325,7.22385337471506,-0.25816692108819
"FR",1804,1839,86,84,0.40952380952381,0.4,7.10614097140214,7.59052526640737,0.48438429500523
"GB",2122,1102,86,76,0.40952380952381,0.361904761904762,7.96587571577672,7.15111781145715,-0.814757904319571
"HR",1679,1475,83,80,0.395238095238095,0.380952380952381,8.1032324332064,7.68999927321092,-0.413233159995481
"HU",1574,1696,89,96,0.423809523809524,0.457142857142857,8.01673417490675,8.52596692716346,0.509232752256709
"IE",2082,1630,87,81,0.414285714285714,0.385714285714286,8.19916794542336,8.14877845908636,-0.050389486337
"IS",787,820,51,56,0.242857142857143,0.266666666666667,5.32321115067681,5.88247371023092,0.55926255955411
"IT",2457,2405,103,105,0.49047619047619,0.5,9.61537545314974,9.54735318729286,-0.0680222658568805
"LT",1497,1464,84,86,0.4,0.40952380952381,8.11099403401124,8.22920683166978,0.11821279765854
"ME",1149,1207,73,72,0.347619047619048,0.342857142857143,7.9451797799971,8.08138915807762,0.13620937808052
"NL",1591,1384,80,65,0.380952380952381,0.30952380952381,6.89998463444133,6.32808966626638,-0.571894968174949
"NO",1353,1355,73,70,0.347619047619048,0.333333333333333,6.9399199884114,6.39577770873866,-0.54414227967274
"PT",994,1757,70,93,0.333333333333333,0.442857142857143,6.97617523450154,8.14229422982848,1.16611899532694
"SI",1226,1163,82,80,0.39047619047619,0.380952380952381,7.48820134839095,7.00417690502174,-0.48402444336921
"SK",994,1283,89,80,0.423809523809524,0.380952380952381,7.87247724320856,7.88066050309251,0.00818325988394975
