"cntry","mean_abs_edge_change","max_abs_edge_change","l2_change","distance_to_median_pattern","n_positive_change","n_negative_change","n_no_change","distance_rank","case_group"
"FR",0.0149175703844296,0.0924058788789312,0.364434011614486,0.362400908312908,56,48,106,1,"Closest 3"
"GB",0.014805669285299,0.0968424774231784,0.380294572869599,0.368609023833861,39,57,114,2,"Closest 3"
"FI",0.0139188819276341,0.0937475430906781,0.374284042738944,0.370655577902454,40,47,123,3,"Closest 3"
"CH",0.0143267511777401,0.104264253616019,0.386134966448765,0.382102355251622,49,38,123,4,"Middle"
"NL",0.0157104786954115,0.0976845536511662,0.404366602822086,0.398912739896994,42,51,117,5,"Middle"
"EE",0.0151791733753602,0.163848850735921,0.42342726044309,0.412599585459457,44,53,113,6,"Middle"
"NO",0.0166773151295046,0.11081818337285,0.437845867277416,0.426253191603935,40,52,118,7,"Middle"
"IT",0.0215506187292902,0.0920393447415431,0.476940093952038,0.451469638889167,67,57,86,8,"Middle"
"IE",0.0178834012019558,0.148863731587861,0.456510133790113,0.454367125079563,50,49,111,9,"Middle"
"HR",0.0184413549928697,0.124147311871672,0.476985540965184,0.463977627240635,51,46,113,10,"Middle"
"BE",0.0181764190271467,0.125653510007151,0.468612268813711,0.464532370518183,50,43,117,11,"Middle"
"SI",0.0180256249055715,0.13143267845815,0.467363612904246,0.473075357500572,47,50,113,12,"Middle"
"CZ",0.0188785915966405,0.133234238206137,0.471475652821972,0.484165715019842,66,44,100,13,"Middle"
"IS",0.0165383616316423,0.174344168039397,0.49968645247589,0.491191803201506,36,31,143,14,"Middle"
"PT",0.0216893892627253,0.130746669528081,0.530817798357374,0.514086573231545,63,45,102,15,"Middle"
"SK",0.0224650164899424,0.150278228748314,0.559990472071308,0.545293671643485,50,51,109,16,"Middle"
"HU",0.0245286810300753,0.181445914331368,0.567206942501432,0.553085082435783,55,58,97,17,"Middle"
"LT",0.0227066647811978,0.155379576070609,0.56920883367056,0.56706984800871,56,51,103,18,"Farthest 3"
"ME",0.0237360514954401,0.167905747306616,0.629445925225231,0.611782105998917,47,44,119,19,"Farthest 3"
"BG",0.0256571283027582,0.172990858642528,0.65618094407341,0.628579526000595,52,49,109,20,"Farthest 3"
