"cntry","n_communities_R9","n_communities_R10","n_unassigned_R9","n_unassigned_R10","n_items_used_in_ari","ari_R9_R10","median_item_stability_R9","median_item_stability_R10"
"BE",3,4,0,0,21,0.65628174737555,0.997,0.993
"BG",2,2,0,0,21,1,0.799,0.999
"CH",4,4,0,0,21,0.763779527559055,1,1
"CZ",3,2,0,0,21,0.709677419354839,0.999,1
"EE",4,4,0,0,21,0.860816542948038,0.969,0.978
"FI",4,4,0,0,21,1,1,1
"FR",4,4,0,0,21,1,0.979,0.988
"GB",4,4,0,0,21,0.87374749498998,0.951,0.885
"HR",5,3,0,0,21,0.543913550164212,0.993,0.964
"HU",2,2,0,0,21,0.809090909090909,1,0.909
"IE",3,3,0,0,21,0.452554744525547,0.962,1
"IS",4,4,0,0,21,0.87374749498998,0.962,0.996
"IT",3,2,0,0,21,0.692814042786616,0.98,0.951
"LT",2,2,0,0,21,0.809264305177112,0.838,0.993
"ME",2,2,0,0,21,0.809264305177112,0.996,1
"NL",4,4,0,0,21,0.753328112764291,0.979,0.994
"NO",4,4,0,0,21,1,0.996,0.999
"PT",4,4,0,1,20,0.449992763062672,0.982,1
"SI",4,3,0,0,21,0.421782582092596,0.68,0.884
"SK",2,2,0,0,21,0.809264305177112,1,0.994
