"cntry","essround","raw","used","drop_pct"
"BE",9,1767,1724,2.43350311262026
"BE",10,1341,1298,3.20656226696495
"BG",9,2198,1503,31.6196542311192
"BG",10,2718,2545,6.36497424576895
"CH",9,1542,1423,7.71725032425422
"CH",10,1523,1428,6.23768877216021
"CZ",9,2398,2180,9.09090909090909
"CZ",10,2476,2178,12.0355411954766
"EE",9,1904,1879,1.31302521008403
"EE",10,1542,1524,1.16731517509728
"FI",9,1755,1669,4.9002849002849
"FI",10,1577,1515,3.93151553582752
"FR",9,2010,1804,10.2487562189055
"FR",10,1977,1839,6.98027314112291
"GB",9,2204,2122,3.72050816696915
"GB",10,1149,1102,4.0905134899913
"HR",9,1810,1679,7.23756906077348
"HR",10,1592,1475,7.34924623115578
"HU",9,1661,1574,5.23780854906683
"HU",10,1849,1696,8.27474310438075
"IE",9,2216,2082,6.04693140794224
"IE",10,1770,1630,7.90960451977401
"IS",9,861,787,8.59465737514518
"IS",10,903,820,9.19158361018826
"IT",9,2745,2457,10.4918032786885
"IT",10,2640,2405,8.90151515151515
"LT",9,1835,1497,18.4196185286104
"LT",10,1659,1464,11.754068716094
"ME",9,1200,1149,4.25
"ME",10,1278,1207,5.55555555555556
"NL",9,1673,1591,4.90137477585176
"NL",10,1470,1384,5.85034013605442
"NO",9,1406,1353,3.76955903271693
"NO",10,1411,1355,3.96881644223955
"PT",9,1055,994,5.78199052132701
"PT",10,1838,1757,4.4069640914037
"SI",9,1318,1226,6.98027314112291
"SI",10,1252,1163,7.10862619808307
"SK",9,1083,994,8.21791320406279
"SK",10,1418,1283,9.52045133991537
