"Country","Rank","Distance","Mean absolute edge change"
"FR",1,"0.362","0.015"
"GB",2,"0.369","0.015"
"FI",3,"0.371","0.014"
"CH",4,"0.382","0.014"
"NL",5,"0.399","0.016"
"EE",6,"0.413","0.015"
"NO",7,"0.426","0.017"
"IT",8,"0.451","0.022"
"IE",9,"0.454","0.018"
"HR",10,"0.464","0.018"
"BE",11,"0.465","0.018"
"SI",12,"0.473","0.018"
"CZ",13,"0.484","0.019"
"IS",14,"0.491","0.017"
"PT",15,"0.514","0.022"
"SK",16,"0.545","0.022"
"HU",17,"0.553","0.025"
"LT",18,"0.567","0.023"
"ME",19,"0.612","0.024"
"BG",20,"0.629","0.026"
