"cntry","n_R9","n_R10","ratio"
"BE",1724,1298,0.752900232018561
"BG",1503,2545,1.69328010645376
"CH",1423,1428,1.00351370344343
"CZ",2180,2178,0.999082568807339
"EE",1879,1524,0.811069717935072
"FI",1669,1515,0.907729179149191
"FR",1804,1839,1.01940133037694
"GB",2122,1102,0.519321394910462
"HR",1679,1475,0.878499106611078
"HU",1574,1696,1.07750952986023
"IE",2082,1630,0.782901056676273
"IS",787,820,1.04193138500635
"IT",2457,2405,0.978835978835979
"LT",1497,1464,0.977955911823647
"ME",1149,1207,1.05047867711053
"NL",1591,1384,0.869893148962916
"NO",1353,1355,1.00147819660015
"PT",994,1757,1.76760563380282
"SI",1226,1163,0.948613376835236
"SK",994,1283,1.2907444668008
