"item","essround","n","mean","sd","median","skew","kurtosis","floor_pct","ceiling_pct","value_type","higher_order","node","item_cn","item_en","circle_pos","higher_order_cn"
"impdiff",9,31687,3.93274844573484,1.34981240485656,4,-0.269907307478919,-0.80014155028134,3.48723451257614,12.241613279894,"Stimulation","Openness","V1","尝试新鲜事物","try new things",3,"开放改变"
"impdiff",10,31068,4.01757435303206,1.32888610326274,4,-0.3213209730008,-0.708138488608154,3.04171494785632,13.5155143556071,"Stimulation","Openness","V1","尝试新鲜事物","try new things",3,"开放改变"
"impenv",9,31687,4.94164799444567,1.01812624449502,5,-0.9658660152107,0.765362425220173,0.410262883832486,33.7078297093445,"Universalism","Self-transcendence","V2","关心环境","care for environment",21,"自我超越"
"impenv",10,31068,4.80458993176259,1.05204118804169,5,-0.822516029538858,0.469226002188861,0.601905497618128,28.527745590318,"Universalism","Self-transcendence","V2","关心环境","care for environment",21,"自我超越"
"impfree",9,31687,4.74226023290308,1.10999600132626,5,-0.834494819620616,0.311575252523142,0.684823429166535,27.5223277684855,"Self-direction","Openness","V3","自己做决定","make own decisions",2,"开放改变"
"impfree",10,31068,4.7726921591348,1.09241956276166,5,-0.821879962172375,0.346588942752267,0.656624179219776,28.7691515385606,"Self-direction","Openness","V3","自己做决定","make own decisions",2,"开放改变"
"impfun",9,31687,3.94404645438192,1.35184625709977,4,-0.362304969058506,-0.663150318758283,4.68015274402752,11.6356865591568,"Hedonism","Openness","V4","寻求乐趣","seek fun",6,"开放改变"
"impfun",10,31068,4.00814342732072,1.31670142152038,4,-0.375169582181584,-0.587198372073489,3.74340157074804,12.2827346465817,"Hedonism","Openness","V4","寻求乐趣","seek fun",6,"开放改变"
"imprich",9,31687,2.74819326537697,1.23637348414659,2,0.590042392051884,-0.293579215878578,13.592324928204,2.24697825606716,"Power","Self-enhancement","V5","富有","be rich",9,"自我提升"
"imprich",10,31068,2.90630230462212,1.34249997290658,3,0.428839180246061,-0.661854330078171,14.1978885026394,3.47624565469293,"Power","Self-enhancement","V5","富有","be rich",9,"自我提升"
"impsafe",9,31687,4.6366333196579,1.20281545050357,5,-0.807874825607899,0.0494194843104019,1.03828068292991,26.4209297188121,"Security","Conservation","V6","生活安全","safe surroundings",11,"保守"
"impsafe",10,31068,4.63589545513068,1.2097346776967,5,-0.801239220936797,0.0595378994316822,1.18127977340028,27.0664349169564,"Security","Conservation","V6","生活安全","safe surroundings",11,"保守"
"imptrad",9,31687,4.26212642408559,1.3487492238735,5,-0.599889267856679,-0.41523847241341,3.50932559093635,18.5975321109603,"Tradition","Conservation","V7","遵循传统","follow traditions",16,"保守"
"imptrad",10,31068,4.19225569718038,1.3554378358806,4,-0.534311160541299,-0.490723878730015,3.78524526844341,17.3329470838161,"Tradition","Conservation","V7","遵循传统","follow traditions",16,"保守"
"ipadvnt",9,31687,3.07649824849307,1.42515706437382,3,0.320505311122381,-0.849677067877493,13.4376873796825,5.53223719506422,"Stimulation","Openness","V8","寻求冒险","seek adventure",4,"开放改变"
"ipadvnt",10,31068,3.21967941290073,1.44039287860432,3,0.209972059027034,-0.917197473461145,11.819235225956,6.61774172782284,"Stimulation","Openness","V8","寻求冒险","seek adventure",4,"开放改变"
"ipbhprp",9,31687,4.31968946255562,1.22660581171883,5,-0.60895654923939,-0.246456571459216,1.78306561050273,15.6594186890523,"Conformity","Conservation","V9","举止得体","behave properly",14,"保守"
"ipbhprp",10,31068,4.32139178576027,1.23131612877967,5,-0.585562406635382,-0.263899443185021,1.77674777906528,16.4542294322132,"Conformity","Conservation","V9","举止得体","behave properly",14,"保守"
"ipcrtiv",9,31687,4.28387035692871,1.26253840475747,4,-0.547217850100026,-0.338581998747679,2.15230220595197,17.0322214157225,"Self-direction","Openness","V10","有创造力","be creative",1,"开放改变"
"ipcrtiv",10,31068,4.3949723187846,1.23570520369642,5,-0.599149887296913,-0.196983878897044,1.79606025492468,19.9143813570233,"Self-direction","Openness","V10","有创造力","be creative",1,"开放改变"
"ipeqopt",9,31687,4.76816991195127,1.07945086476877,5,-0.901513872112252,0.623638154927346,0.744784927572822,26.8659071543535,"Universalism","Self-transcendence","V11","人人平等","equal opportunities",20,"自我超越"
"ipeqopt",10,31068,4.90816917728853,1.04987183847686,5,-1.00580821867891,0.889767161648356,0.614780481524398,32.9889275138406,"Universalism","Self-transcendence","V11","人人平等","equal opportunities",20,"自我超越"
"ipfrule",9,31687,3.73964086218323,1.37263033213175,4,-0.221945396548308,-0.901508199519179,5.20402688799823,8.37883043519424,"Conformity","Conservation","V12","遵守规则","follow rules",13,"保守"
"ipfrule",10,31068,3.78376464529419,1.37250792067286,4,-0.251740579568977,-0.822817957411272,5.3334620831724,9.47920690099137,"Conformity","Conservation","V12","遵守规则","follow rules",13,"保守"
"ipgdtim",9,31687,3.97219679994951,1.33437248901094,4,-0.349455111416389,-0.696752354155701,3.72392463786411,11.7713888976552,"Hedonism","Openness","V13","享受美好时光","have a good time",5,"开放改变"
"ipgdtim",10,31068,4.1137504828119,1.30164275171163,4,-0.41629415843295,-0.567352417651447,2.80352774559032,14.2172009784988,"Hedonism","Openness","V13","享受美好时光","have a good time",5,"开放改变"
"iphlppl",9,31687,4.78805188247546,0.995960984797506,5,-0.764859860774583,0.4871969187452,0.403951147158141,25.0102565720958,"Benevolence","Self-transcendence","V14","帮助他人","help people",17,"自我超越"
"iphlppl",10,31068,4.81189648512939,1.0028883362262,5,-0.773524820929716,0.453921560577191,0.357280803398996,26.6962791296511,"Benevolence","Self-transcendence","V14","帮助他人","help people",17,"自我超越"
"iplylfr",9,31687,5.00552276959005,0.94027331938441,5,-1.04608968515736,1.30141406404193,0.321898570391643,32.8936156783539,"Benevolence","Self-transcendence","V15","忠于朋友","loyal to friends",18,"自我超越"
"iplylfr",10,31068,4.99665250418437,0.978535726434759,5,-1.06376387859598,1.22317698215355,0.418436976953779,34.41483198146,"Benevolence","Self-transcendence","V15","忠于朋友","loyal to friends",18,"自我超越"
"ipmodst",9,31687,4.30829677785843,1.22791348736242,5,-0.57801365375858,-0.283331830551689,1.77359800549121,15.7793416858649,"Tradition","Conservation","V16","谦逊低调","be modest",15,"保守"
"ipmodst",10,31068,4.32786146517317,1.2360972841259,5,-0.567497726758672,-0.30147290243747,1.69627912965109,17.1881035148706,"Tradition","Conservation","V16","谦逊低调","be modest",15,"保守"
"iprspot",9,31687,3.76340455076214,1.34765446821849,4,-0.184284861622123,-0.866451706622779,4.24148704516048,8.97213368258276,"Power","Self-enhancement","V17","获得尊重","get respect",10,"自我提升"
"iprspot",10,31068,3.82992146259817,1.35831594643202,4,-0.216778577555179,-0.838108858179367,4.11677610402987,10.6186429766963,"Power","Self-enhancement","V17","获得尊重","get respect",10,"自我提升"
"ipshabt",9,31687,3.74762520907628,1.36837850152726,4,-0.180938108741264,-0.915228093737189,4.61703537728406,9.01000410262884,"Achievement","Self-enhancement","V18","展示才能","show abilities",7,"自我提升"
"ipshabt",10,31068,3.82705677867903,1.38207181858528,4,-0.251849718003734,-0.843243847478199,4.87640015449981,10.7731427835715,"Achievement","Self-enhancement","V18","展示才能","show abilities",7,"自我提升"
"ipstrgv",9,31687,4.63969451194496,1.18213511121191,5,-0.825444414895616,0.194569641097923,1.20554170480008,25.5499100577524,"Security","Conservation","V19","政府保障安全","strong government",12,"保守"
"ipstrgv",10,31068,4.61172267284666,1.16837010347799,5,-0.780010979872793,0.183729349015636,1.16518604351745,24.2950946311317,"Security","Conservation","V19","政府保障安全","strong government",12,"保守"
"ipsuces",9,31687,3.80427304572853,1.33845315193209,4,-0.215760614082341,-0.813480512759301,4.07422602329031,9.43920219648436,"Achievement","Self-enhancement","V20","取得成功","be successful",8,"自我提升"
"ipsuces",10,31068,3.86973735032831,1.35221822477998,4,-0.282562151086289,-0.754336569405991,4.41290073387408,10.7634865456418,"Achievement","Self-enhancement","V20","取得成功","be successful",8,"自我提升"
"ipudrst",9,31687,4.56493199103733,1.08489238747814,5,-0.735586368314229,0.286801249636075,0.839460977688011,18.4586739041247,"Universalism","Self-transcendence","V21","理解他人","understand others",19,"自我超越"
"ipudrst",10,31068,4.60058581176774,1.07904764316084,5,-0.721959646794553,0.285631943997961,0.733874082657397,20.1557873052659,"Universalism","Self-transcendence","V21","理解他人","understand others",19,"自我超越"
