"cntry","wave","k","rep","modal_k","modal_p"
"BE","R9",3,0.668,3,0.668
"BE","R10",4,0.921,4,0.921
"BG","R9",2,0.13,3,0.448
"BG","R10",2,0.995,2,0.995
"CH","R9",4,0.985,4,0.985
"CH","R10",4,0.899,4,0.899
"CZ","R9",3,0.401,3,0.401
"CZ","R10",2,0.993,2,0.993
"EE","R9",4,0.469,3,0.469
"EE","R10",4,0.801,4,0.801
"FI","R9",4,0.993,4,0.993
"FI","R10",4,0.941,4,0.941
"FR","R9",4,0.897,4,0.897
"FR","R10",4,0.748,4,0.748
"GB","R9",4,0.575,4,0.575
"GB","R10",4,0.595,4,0.595
"HR","R9",5,0.058,3,0.579
"HR","R10",3,0.496,3,0.496
"HU","R9",2,0.714,2,0.714
"HU","R10",2,0.599,2,0.599
"IE","R9",3,0.762,3,0.762
"IE","R10",3,1,3,1
"IS","R9",4,0.848,4,0.848
"IS","R10",4,0.987,4,0.987
"IT","R9",3,0.262,2,0.669
"IT","R10",2,0.881,2,0.881
"LT","R9",2,0.398,2,0.398
"LT","R10",2,0.51,2,0.51
"ME","R9",2,0.907,2,0.907
"ME","R10",2,1,2,1
"NL","R9",4,0.683,4,0.683
"NL","R10",4,0.638,4,0.638
"NO","R9",4,0.945,4,0.945
"NO","R10",4,0.964,4,0.964
"PT","R9",4,0.416,3,0.56
"PT","R10",4,0.309,3,0.687
"SI","R9",4,0.368,4,0.368
"SI","R10",3,0.538,3,0.538
"SK","R9",2,1,2,1
"SK","R10",2,0.844,2,0.844
