"cntry","n_raw_p05","min_p","max_abs_delta","median_abs_delta"
"IT",32,0.000999000999000999,0.0920393447415431,0.0121147114837493
"BG",30,0.000999000999000999,0.172990858642528,0
"LT",24,0.000999000999000999,0.155379576070609,0.00291186258012421
"CZ",19,0.000999000999000999,0.133234238206137,0.00172426555493798
"HU",18,0.000999000999000999,0.181445914331368,0.00886547949709805
"PT",18,0.000999000999000999,0.130746669528081,0.00273814894501323
"ME",17,0.000999000999000999,0.167905747306616,0
"NO",13,0.000999000999000999,0.11081818337285,0
"SK",13,0.000999000999000999,0.150278228748314,0
"IE",12,0.000999000999000999,0.148863731587861,0
"FI",11,0.000999000999000999,0.0937475430906781,0
"GB",10,0.000999000999000999,0.0968424774231784,0
"EE",9,0.000999000999000999,0.163848850735921,0
"HR",8,0.000999000999000999,0.124147311871672,0
"SI",8,0.013986013986014,0.13143267845815,0
"FR",7,0.010989010989011,0.0924058788789312,0
"BE",6,0.002997002997003,0.125653510007151,0
"IS",6,0.001998001998002,0.174344168039397,0
"NL",6,0.003996003996004,0.0976845536511662,0
"CH",5,0.003996003996004,0.104264253616019,0
