"cntry","wave","n_nonzero","n_ci_excl_0","pct_ci_excl_0","n"
"BE","R10",66,25,37.8787878787879,1298
"BE","R9",83,35,42.1686746987952,1724
"BG","R10",93,60,64.5161290322581,2545
"BG","R9",70,36,51.4285714285714,1503
"CH","R10",77,35,45.4545454545455,1428
"CH","R9",63,35,55.5555555555556,1423
"CZ","R10",92,52,56.5217391304348,2178
"CZ","R9",91,47,51.6483516483517,2180
"EE","R10",79,29,36.7088607594937,1524
"EE","R9",86,37,43.0232558139535,1879
"FI","R10",71,34,47.887323943662,1515
"FI","R9",70,31,44.2857142857143,1669
"FR","R10",84,41,48.8095238095238,1839
"FR","R9",86,35,40.6976744186046,1804
"GB","R10",76,28,36.8421052631579,1102
"GB","R9",86,48,55.8139534883721,2122
"HR","R10",80,37,46.25,1475
"HR","R9",83,40,48.1927710843374,1679
"HU","R10",96,46,47.9166666666667,1696
"HU","R9",89,41,46.0674157303371,1574
"IE","R10",81,50,61.7283950617284,1630
"IE","R9",87,52,59.7701149425287,2082
"IS","R10",56,17,30.3571428571429,820
"IS","R9",51,17,33.3333333333333,787
"IT","R10",105,57,54.2857142857143,2405
"IT","R9",103,48,46.6019417475728,2457
"LT","R10",86,36,41.8604651162791,1464
"LT","R9",84,34,40.4761904761905,1497
"ME","R10",72,31,43.0555555555556,1207
"ME","R9",73,36,49.3150684931507,1149
"NL","R10",65,27,41.5384615384615,1384
"NL","R9",80,28,35,1591
"NO","R10",70,24,34.2857142857143,1355
"NO","R9",73,29,39.7260273972603,1353
"PT","R10",93,47,50.5376344086022,1757
"PT","R9",70,24,34.2857142857143,994
"SI","R10",80,29,36.25,1163
"SI","R9",82,28,34.1463414634146,1226
"SK","R10",80,34,42.5,1283
"SK","R9",89,30,33.7078651685393,994
