"item","mean_stability","n_below_070","value_type","higher_order","node"
"impfree",0.738075,16,"Self-direction","Openness","V3"
"iprspot",0.797717948717949,11,"Power","Self-enhancement","V17"
"ipmodst",0.836375,10,"Tradition","Conservation","V16"
"imprich",0.8381,8,"Power","Self-enhancement","V5"
"ipsuces",0.868825,8,"Achievement","Self-enhancement","V20"
"ipshabt",0.880575,7,"Achievement","Self-enhancement","V18"
"ipcrtiv",0.894575,6,"Self-direction","Openness","V10"
"ipfrule",0.8969,6,"Conformity","Conservation","V12"
"impsafe",0.9035,4,"Security","Conservation","V6"
"ipstrgv",0.92385,3,"Security","Conservation","V19"
"ipbhprp",0.924375,4,"Conformity","Conservation","V9"
"imptrad",0.929675,2,"Tradition","Conservation","V7"
"ipudrst",0.94145,4,"Universalism","Self-transcendence","V21"
"impfun",0.95025,1,"Hedonism","Openness","V4"
"iplylfr",0.951975,1,"Benevolence","Self-transcendence","V15"
"ipgdtim",0.954525,1,"Hedonism","Openness","V13"
"iphlppl",0.955025,2,"Benevolence","Self-transcendence","V14"
"ipeqopt",0.956725,1,"Universalism","Self-transcendence","V11"
"ipadvnt",0.957625,1,"Stimulation","Openness","V8"
"impenv",0.958325,1,"Universalism","Self-transcendence","V2"
"impdiff",0.96825,1,"Stimulation","Openness","V1"
