"cntry","wave","median_stability","min_stability","n_below_070"
"SI","R9",0.68,0.35,11
"BG","R9",0.799,0.337,7
"LT","R9",0.838,0.319,5
"SI","R10",0.884,0.445,1
"GB","R10",0.885,0.156,3
"HU","R10",0.909,0.7,0
"GB","R9",0.951,0.505,6
"IT","R10",0.951,0.897,0
"IE","R9",0.962,0.34,1
"IS","R9",0.962,0.49,2
"HR","R10",0.964,0.181,6
"EE","R9",0.969,0.315,5
"EE","R10",0.978,0.636,1
"FR","R9",0.979,0.501,1
"NL","R9",0.979,0.643,3
"IT","R9",0.98,0.24,4
"PT","R9",0.982,0.397,7
"FR","R10",0.988,0.748,0
"BE","R10",0.993,0.455,2
"HR","R9",0.993,0.06,4
"LT","R10",0.993,0.607,1
"NL","R10",0.994,0.456,4
"SK","R10",0.994,0.609,1
"IS","R10",0.996,0.734,0
"ME","R9",0.996,0.82,0
"NO","R9",0.996,0.53,1
"BE","R9",0.997,0.563,6
"BG","R10",0.999,0.884,0
"CZ","R9",0.999,0.619,7
"NO","R10",0.999,0.658,2
"CH","R10",1,0.9,0
"CH","R9",1,0.639,1
"CZ","R10",1,0.944,0
"FI","R10",1,0.717,0
"FI","R9",1,0.981,0
"HU","R9",1,0.477,2
"IE","R10",1,0.942,0
"ME","R10",1,0.957,0
"PT","R10",1,0.36,3
"SK","R9",1,0.308,1
